Feature,Random_Forest_Importance,Mutual_Information,F_Statistic,Correlation,F_P_Value,Corr_P_Value
PCT,0.41726502389373377,0.4110918728681576,8347.441436828205,0.9032506422617538,0.0,0.0
PT,0.12015175210357933,0.2610834294830444,860.1182693138229,0.5598577231345184,4.6398762471182396e-156,4.639876247115913e-156
Hs-CRP,0.16867713880111757,0.25471311401915364,805.1203098353272,0.5471737755388311,9.100109219676947e-148,9.10010921967294e-148
MAP,0.046679743439070186,0.22738076080712122,471.1421493601633,0.44726757720119925,1.9903671528267707e-93,1.9903671528476973e-93
T-Bil,0.08861071406723986,0.20785118681320935,585.6366197111342,0.4869648167086279,6.949828935616009e-113,6.949828935613661e-113
GCS,0.02827252389661258,0.15085954438999805,690.1411138814951,0.5177889459763804,7.245934548974888e-130,7.245934548961131e-130
BOXY,0.05458628670863111,0.12778153397672032,78.70150161550933,0.2002462454666814,1.6403187673604076e-18,1.640318767362396e-18
BMI,0.0014545710483676363,0.08376951340756422,26.36142439094243,0.1174699182393125,3.1235724149562166e-07,3.123572414964382e-07
LOS,0.02223741663388056,0.08140557664018266,15.29090913132288,0.089726537518558,9.542397311010706e-05,9.542397311006059e-05
PLT,0.005376753215236739,0.07122429944174424,9.475855103540217,0.07074232349005445,0.0021119544575585406,0.002111954457557756
Lymph,0.01021464978707701,0.06927499452408603,63.39169666694652,0.18042201586595039,2.901641968095012e-15,2.9016419680926444e-15
Urine_Volumn,0.002973197451842547,0.06672730674475091,7.271716327699122,0.062007111422894334,0.00706726307266993,0.00706726307266359
WBC,0.010738921390300804,0.06405051243039983,99.01244321231641,0.22345093123112766,9.047444323429371e-23,9.047444323427384e-23
RR,0.0010011246345096813,0.05466155105538051,11.876247448548877,0.07914703065085915,0.0005810174106233355,0.0005810174106248106
Crea,0.0034580126735543836,0.054626024224845526,3.5568035451398843,0.04340901427919399,0.05945553746278478,0.05945553746273572
Height,0.0014688071492048945,0.040768731383683976,0.36071567619171,0.013835679318220133,0.5481812763042226,0.5481812763079161
SBP,0.004189585840615232,0.038491367302821766,124.35648805135035,0.24883635008383712,5.190105888990763e-28,5.1901058889788195e-28
BT,0.0019225342017711886,0.02347307066342763,52.77798998062742,0.16507697526656268,5.44236976328223e-13,5.4423697825283e-13
DBP,0.004664700596513832,0.01934717902337879,80.14593924388184,0.20200116990395464,8.133259049396335e-19,8.133259049379706e-19
Weight,0.001284289686224536,0.015366765104708913,5.325523600291662,0.05309183805236374,0.02112318718696559,0.021123187186969355
Segment,0.0011725714253673178,0.013778112331842562,1.9157428771812246,0.0318718642388583,0.1664906549252305,0.16649065492497214
Pluse,0.0010295504222298238,0.000456255225183666,9.852300836510462,0.07212665296654105,0.0017224719467481481,0.001722471946744658
SEX,0.00013665268951028951,0.0,0.05811883475683029,0.005554069390713344,0.8095205220531446,0.8095205220532107
AGE,0.0024334782438092026,0.0,0.0010251698312511044,0.0007376618781917095,0.9744608697962177,0.9744608698674857
